Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
3954.T,Showa Paxxs Corp,Packaging & Containers,Consumer Cyclical,319,5.70,6.16,5.22,4.25,138,,1820.00,3823.81,6100
7528.KL,DKLS Industries Bhd,Engineering & Construction,Industrials,0.30,5.87,6.12,3.62,5.37,10.15,0.72,1.76,5638.1,3100
IRC.MI,IRCE S.p.A.,Electrical Equipment & Parts,Industrials,0.26,7.54,4.51,3.61,2.59,2.96,0.44,1.97,13711,9001
PMTYF,Playmates Toys Ltd,Leisure,Consumer Cyclical,0.01,4.60,11.12,24.90,8.85,117,,0.0460,69154,9500
1460.HK,ICO Group Ltd,Information Technology Services,Technology,0.03,8.20,4.46,9.52,2.65,27.78,,0.228,2538911,184000
5242.KL,Solid Automotive Bhd,Auto Parts,Consumer Cyclical,0.08,1.94,17.24,20.23,12.22,17.38,0.04,0.155,153356,57000
MLIA.JK,Mulia Industrindo,Building Products & Equipment,Industrials,47.03,6.12,6.09,5.58,4.46,6.35,0.66,288.00,2466927,2387000
1058.KL,Manulife Holdings Bhd,Insurance - Life,Financial Services,0.49,4.55,7.68,1.81,1.35,2084,0.21,2.23,74881,2200
C9Q.SI,Sinostar PEC Holdings Ltd,Oil & Gas E&P,Energy,0.05,2.78,11.40,12.94,6.94,14.92,0.87,0.139,140517,50000
6339.T,Sintokogio Ltd,Specialty Industrial Machinery,Industrials,116,7.13,5.14,1.94,2.89,6.78,2.24,823.00,147705,57900
0922.HK,Anxian Yuan China Holdings Ltd,Personal Services,Consumer Cyclical,0.02,7.90,5.27,5.34,3.83,198,,0.157,723511,302260
METROGLOBL.BO,MetroGlobal Ltd,Specialty Chemicals,Basic Materials,17.36,7.39,5.51,2.68,5.18,14.81,0.75,128.30,1320.48,548
VINDHYATEL.BO,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,170,7.91,5.08,2.98,2.98,2.93,,1342.00,3316.76,550
AAGRY,Astra Agro Lestari ADR,Farm Products,Consumer Defensive,0.18,7.89,5.12,4.62,3.91,6.50,0.93,1.4200,,3000
VINDHYATEL.NS,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,170,7.77,5.08,2.98,2.98,2.93,,1318.50,32015,10477
JKON.JK,Jaya Konstruksi Manggala Pratama,Conglomerates,Industrials,11.43,6.47,6.12,3.58,4.34,9.91,0.96,74.00,7096188,3595700
A26.SI,Sinarmas Land Ltd,Real Estate - Development,Real Estate,0.06,5.25,7.44,8.12,3.14,3.68,1.06,0.315,4963564,5086100
TOMA.PR,Toma a.s.,Conglomerates,Industrials,281,4.81,7.96,2.87,6.13,5.51,0.61,1350.00,42.38,14
6769.KL,JKG Land Bhd,Real Estate - Development,Real Estate,0.02,5.25,7.58,7.31,5.09,6.06,0.48,0.105,333616,70100
2722.HK,Chongqing Machinery & Electric Co Ltd,Specialty Industrial Machinery,Industrials,0.13,7.08,5.44,1.95,2.45,3.71,0.83,0.92,13677822,6141169
5975.T,Topre Corp,Auto Parts,Consumer Cyclical,244,7.18,5.87,4.33,3.44,113,0.45,1755.00,64552,56200
7077.KL,Kerjaya Prospek Property Bhd,Real Estate - Development,Real Estate,0.06,7.17,5.72,4.16,3.68,133,,0.43,211678,197200
0116.HK,Chow Sang Sang Holdings International Ltd,Luxury Goods,Consumer Cyclical,1.14,6.65,6.56,4.57,4.19,7.35,2.35,7.60,814856,476000
2317.HK,Vedan International (Holdings) Ltd,Packaged Foods,Consumer Defensive,0.08,7.62,5.37,5.34,4.25,14.20,,0.63,58288,100000
ISSP.JK,Steel Pipe Industry of Indonesia,Steel,Basic Materials,75.02,3.71,11.05,10.14,6.74,6.85,0.20,278.00,2618704,1593600
4116.T,Dainichiseika Color & Chemicals Mfg. Co Ltd,Specialty Chemicals,Basic Materials,589,5.08,8.35,3.55,5.10,27.47,5.91,2990.00,52133,37100
5906.T,MK Seiko Co Ltd,Consumer Electronics,Technology,71.14,6.16,6.90,8.73,3.77,94.24,1.03,438.00,54029,36800
5440.T,Kyoei Steel Ltd,Steel,Basic Materials,262,7.47,5.79,3.86,3.25,5.58,0.80,1953.00,112605,102800
1612.HK,Vincent Medical Holdings Ltd,Medical Devices,Healthcare,0.11,3.36,12.31,14.12,8.27,58.35,2.34,0.375,707628,404000
AWC.SI,Brook Crompton Holdings Ltd,Electrical Equipment & Parts,Industrials,0.07,7.57,4.97,8.75,3.22,29.49,8.06,0.530,3009.52,5500
7250.T,Pacific Industrial Co Ltd,Auto Parts,Consumer Cyclical,229,5.50,7.99,4.71,4.63,39.53,0.44,1261.00,129981,66600
6143.T,Sodick Co Ltd,Specialty Industrial Machinery,Industrials,81.06,9.07,5.15,2.00,2.94,5.37,,735.00,226586,126000
5191.KL,Tambun Indah Land Bhd,Real Estate - Diversified,Real Estate,0.11,7.36,6.46,6.79,5.56,17.79,1.50,0.80,76381,20000
CALT.MI,Caltagirone S.p.A.,Building Materials,Basic Materials,1.08,6.74,7.65,6.02,2.92,14.14,0.31,7.30,30123,12377
5049.KL,Country View Bhd,Real Estate - Development,Real Estate,0.26,8.96,6.10,5.07,3.72,4.97,,2.33,35895,122300
5080.KL,Poh Kong Holdings Bhd,Luxury Goods,Consumer Cyclical,0.29,3.55,13.94,12.24,10.76,19.15,0.13,1.03,1191019,309200
8982.KL,Cepatwawasan Group Bhd,Farm Products,Consumer Defensive,0.07,9.14,5.33,5.65,4.32,13.59,0.96,0.645,203700,2000
6336.T,Ishii Hyoki Co Ltd,Specialty Industrial Machinery,Industrials,79.84,7.15,7.40,6.99,3.94,24.15,0.35,574.00,7628.57,27500
6459.KL,MNRB Holdings Bhd,Insurance - Reinsurance,Financial Services,0.69,2.93,17.07,4.58,4.18,21.52,0.23,2.03,268630,31700
LTLS.JK,Lautan Luas,Specialty Chemicals,Basic Materials,146,6.27,7.94,6.71,3.80,4.22,,920.00,52982,102200
G0I.SI,Nam Lee Pressed Metal Industries Ltd,Metal Fabrication,Industrials,0.05,6.80,7.75,7.15,5.51,8.03,,0.340,88022,193100
9312.T,Keihin Co Ltd,Integrated Freight & Logistics,Industrials,348,6.47,7.99,4.77,4.53,45.87,0.88,2260.00,9157.14,9400
QDT.PA,Quadient S.A.,Software - Application,Technology,1.91,8.68,6.10,4.31,2.45,3.21,,16.66,36725,21082
DCOHF,Dickson Concepts (International) Ltd,Luxury Goods,Consumer Cyclical,0.09,6.28,7.43,13.84,4.96,4.79,,0.5649,5890.62,27404
7246.T,Press Kogyo Co Ltd,Auto Parts,Consumer Cyclical,57.66,9.49,5.30,4.98,3.04,28.44,1.26,547.00,340500,185700
